PULocationID,borough,zone,service_zone,origin_borough,destination_borough,borough_pair,route_id,route_name
3,Bronx,Allerton/Pelham Gardens,Boro Zone,Bronx,Brooklyn,Bronx->Brooklyn,1,corridor_01_bronx_to_brooklyn
18,Bronx,Bedford Park,Boro Zone,Bronx,Brooklyn,Bronx->Brooklyn,1,corridor_01_bronx_to_brooklyn
20,Bronx,Belmont,Boro Zone,Bronx,Brooklyn,Bronx->Brooklyn,1,corridor_01_bronx_to_brooklyn
31,Bronx,Bronx Park,Boro Zone,Bronx,Brooklyn,Bronx->Brooklyn,1,corridor_01_bronx_to_brooklyn
32,Bronx,Bronxdale,Boro Zone,Bronx,Brooklyn,Bronx->Brooklyn,1,corridor_01_bronx_to_brooklyn
46,Bronx,City Island,Boro Zone,Bronx,Brooklyn,Bronx->Brooklyn,1,corridor_01_bronx_to_brooklyn
47,Bronx,Claremont/Bathgate,Boro Zone,Bronx,Brooklyn,Bronx->Brooklyn,1,corridor_01_bronx_to_brooklyn
51,Bronx,Co-Op City,Boro Zone,Bronx,Brooklyn,Bronx->Brooklyn,1,corridor_01_bronx_to_brooklyn
58,Bronx,Country Club,Boro Zone,Bronx,Brooklyn,Bronx->Brooklyn,1,corridor_01_bronx_to_brooklyn
59,Bronx,Crotona Park,Boro Zone,Bronx,Brooklyn,Bronx->Brooklyn,1,corridor_01_bronx_to_brooklyn
60,Bronx,Crotona Park East,Boro Zone,Bronx,Brooklyn,Bronx->Brooklyn,1,corridor_01_bronx_to_brooklyn
69,Bronx,East Concourse/Concourse Village,Boro Zone,Bronx,Manhattan,Bronx->Manhattan,2,corridor_02_bronx_to_manhattan
78,Bronx,East Tremont,Boro Zone,Bronx,Manhattan,Bronx->Manhattan,2,corridor_02_bronx_to_manhattan
81,Bronx,Eastchester,Boro Zone,Bronx,Manhattan,Bronx->Manhattan,2,corridor_02_bronx_to_manhattan
94,Bronx,Fordham South,Boro Zone,Bronx,Manhattan,Bronx->Manhattan,2,corridor_02_bronx_to_manhattan
119,Bronx,Highbridge,Boro Zone,Bronx,Manhattan,Bronx->Manhattan,2,corridor_02_bronx_to_manhattan
126,Bronx,Hunts Point,Boro Zone,Bronx,Manhattan,Bronx->Manhattan,2,corridor_02_bronx_to_manhattan
136,Bronx,Kingsbridge Heights,Boro Zone,Bronx,Manhattan,Bronx->Manhattan,2,corridor_02_bronx_to_manhattan
147,Bronx,Longwood,Boro Zone,Bronx,Manhattan,Bronx->Manhattan,2,corridor_02_bronx_to_manhattan
159,Bronx,Melrose South,Boro Zone,Bronx,Manhattan,Bronx->Manhattan,2,corridor_02_bronx_to_manhattan
167,Bronx,Morrisania/Melrose,Boro Zone,Bronx,Manhattan,Bronx->Manhattan,2,corridor_02_bronx_to_manhattan
168,Bronx,Mott Haven/Port Morris,Boro Zone,Bronx,Manhattan,Bronx->Manhattan,2,corridor_02_bronx_to_manhattan
169,Bronx,Mount Hope,Boro Zone,Bronx,Queens,Bronx->Queens,3,corridor_03_bronx_to_queens
174,Bronx,Norwood,Boro Zone,Bronx,Queens,Bronx->Queens,3,corridor_03_bronx_to_queens
182,Bronx,Parkchester,Boro Zone,Bronx,Queens,Bronx->Queens,3,corridor_03_bronx_to_queens
183,Bronx,Pelham Bay,Boro Zone,Bronx,Queens,Bronx->Queens,3,corridor_03_bronx_to_queens
